table_name,code,code_system,display,row_count,distinct_patient_count
immunization,52,http://hl7.org/fhir/sid/cvx,"Hep A, adult",1094,628
procedure,47758006,http://snomed.info/sct,Hepatitis B surface antigen measurement (procedure),1103,624
medication_request,106892,http://www.nlm.nih.gov/research/umls/rxnorm,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Humulin]",47160,622
procedure,311555007,http://snomed.info/sct,Speech and language therapy regime (regime/therapy),1246,617
immunization,121,http://hl7.org/fhir/sid/cvx,"zoster vaccine, live",1140,616
procedure,275833003,http://snomed.info/sct,Alpha-fetoprotein test - antenatal (procedure),1062,616
observation,19123-9,http://loinc.org,Magnesium [Mass/volume] in Serum or Plasma,6558,615
allergy,84489001,http://snomed.info/sct,Mold (organism),579,579
medication_request,1870230,http://www.nlm.nih.gov/research/umls/rxnorm,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,577,577
procedure,D2392,http://www.ada.org/cdt,"resin-based composite - two surfaces, posterior",643,566
condition,44465007,http://snomed.info/sct,Sprain of ankle (disorder),586,559
diagnostic_report,55405-5,http://loinc.org,Heart failure tracking panel,1650,549
observation,3173-2,http://loinc.org,aPTT in Blood by Coagulation assay,2345,543
condition,307426000,http://snomed.info/sct,Acute infective cystitis (disorder),582,539
observation,24124-0,http://loinc.org,Casts [Presence] in Urine sediment by Light microscopy,647,533
observation,8247-9,http://loinc.org,Mucus [Presence] in Urine sediment by Light microscopy,647,533
allergy,264287008,http://snomed.info/sct,Animal dander (substance),526,526
immunization,43,http://hl7.org/fhir/sid/cvx,"Hep B, adult",849,501
medication_request,904419,http://www.nlm.nih.gov/research/umls/rxnorm,Alendronic acid 10 MG Oral Tablet,15392,496
encounter,36228007,http://snomed.info/sct,Ophthalmic examination and evaluation (procedure),6127,494
observation,71491-5,http://loinc.org,Right eye Diabetic retinopathy severity level by Ophthalmoscopy,5976,493
observation,413077008,http://snomed.info/sct,LogMAR visual acuity left eye (observable entity),5949,491
diagnostic_report,24356-8,http://loinc.org,Urinalysis complete panel - Urine,1367,480
condition,399211009,http://snomed.info/sct,History of myocardial infarction (situation),479,479
observation,57905-2,http://loinc.org,Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay --1st specimen,501,479
condition,110030002,http://snomed.info/sct,Concussion injury of brain (disorder),486,471
diagnostic_report,94531-1,http://loinc.org,SARS-CoV-2 (COVID-19) RNA panel - Respiratory system specimen by NAA with probe detection,595,467
procedure,415070008,http://snomed.info/sct,Percutaneous coronary intervention,488,466
encounter,183452005,http://snomed.info/sct,Emergency hospital admission (procedure),785,439
allergy,256277009,http://snomed.info/sct,Grass pollen (substance),436,436
encounter,56876005,http://snomed.info/sct,Drug rehabilitation and detoxification (regime/therapy),1094,423
allergy,260147004,http://snomed.info/sct,House dust mite (organism),412,412
allergy,782576004,http://snomed.info/sct,Tree pollen (substance),412,412
procedure,386053000,http://snomed.info/sct,Evaluation procedure (procedure),469,405
medication_request,834061,http://www.nlm.nih.gov/research/umls/rxnorm,Penicillin V Potassium 250 MG Oral Tablet,476,405
diagnostic_report,34528-0,http://loinc.org,PT panel - Platelet poor plasma by Coagulation assay,2850,404
condition,1187604002,http://snomed.info/sct,Serving in military service (finding),397,397
diagnostic_report,75689-0,http://loinc.org,Iron panel - Serum or Plasma,4722,385
observation,6189-5,http://loinc.org,White oak IgE Ab [Units/volume] in Serum,440,375
observation,6273-7,http://loinc.org,Walnut IgE Ab [Units/volume] in Serum,440,375
observation,6844-5,http://loinc.org,Honey bee IgE Ab [Units/volume] in Serum,440,375
observation,6248-9,http://loinc.org,Soybean IgE Ab [Units/volume] in Serum,440,375
observation,6082-2,http://loinc.org,Codfish IgE Ab [Units/volume] in Serum,440,375
procedure,306185001,http://snomed.info/sct,Referral to cardiac surgery service (procedure),379,372
encounter,305432006,http://snomed.info/sct,Admission to surgical transplant department (procedure),400,368
diagnostic_report,24336-0,http://loinc.org,Gas panel - Arterial blood,3086,364
observation,1960-4,http://loinc.org,Bicarbonate [Moles/volume] in Arterial blood,3086,364
condition,39898005,http://snomed.info/sct,Sleep disorder (disorder),363,363
condition,36971009,http://snomed.info/sct,Sinusitis (disorder),369,360
encounter,305342007,http://snomed.info/sct,Admission to ward (procedure),398,359
encounter,439740005,http://snomed.info/sct,Postoperative follow-up visit (procedure),2574,352
observation,74006-8,http://loinc.org,Weight difference [Mass difference] --pre dialysis - post dialysis,100264,346
condition,698306007,http://snomed.info/sct,Awaiting transplantation of kidney (situation),345,345
medication_request,855812,http://www.nlm.nih.gov/research/umls/rxnorm,prasugrel 10 MG Oral Tablet,341,341
procedure,52765003,http://snomed.info/sct,Intubation (procedure),346,340
procedure,D1351,http://www.ada.org/cdt,sealant  per tooth,361,334
encounter,281036007,http://snomed.info/sct,Follow-up consultation (procedure),870,333
condition,266934004,http://snomed.info/sct,Transport problem (finding),332,332
diagnostic_report,93124-6,http://loinc.org,New York Heart Association Functional Classification panel,329,327
condition,49727002,http://snomed.info/sct,Cough (finding),327,327
medication_request,860975,http://www.nlm.nih.gov/research/umls/rxnorm,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,18367,325
encounter,305351004,http://snomed.info/sct,Admission to intensive care unit (procedure),599,320
medication_request,1664463,http://www.nlm.nih.gov/research/umls/rxnorm,24 HR tacrolimus 1 MG Extended Release Oral Tablet [Envarsus],8694,312
observation,3016-3,http://loinc.org,Thyrotropin [Units/volume] in Serum or Plasma,304,299
observation,14627-4,http://loinc.org,Bicarbonate [Moles/volume] in Venous blood,298,297
observation,2027-1,http://loinc.org,"Carbon dioxide, total [Moles/volume] in Venous blood",298,297
diagnostic_report,24339-4,http://loinc.org,Gas panel - Venous blood,298,297
condition,428251008,http://snomed.info/sct,History of appendectomy (situation),295,295
diagnostic_report,50190-8,http://loinc.org,Iron and Iron binding capacity panel - Serum or Plasma,3958,290
observation,33762-6,http://loinc.org,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,3963,290
medication_request,313988,http://www.nlm.nih.gov/research/umls/rxnorm,Furosemide 40 MG Oral Tablet,2552,290
observation,2502-3,http://loinc.org,Iron saturation [Mass Fraction] in Serum or Plasma,3958,290
encounter,394701000,http://snomed.info/sct,Asthma follow-up (regime/therapy),1330,287
observation,92134-6,http://loinc.org,Human metapneumovirus RNA [Presence] in Respiratory system specimen by NAA with probe detection,284,284
diagnostic_report,92143-7,http://loinc.org,Respiratory pathogens DNA and RNA panel - Respiratory system specimen by NAA with probe detection,284,284
observation,92131-2,http://loinc.org,Respiratory syncytial virus RNA [Presence] in Respiratory system specimen by NAA with probe detection,284,284
observation,94040-3,http://loinc.org,Adenovirus A+B+C+D+E DNA [Presence] in Respiratory system specimen by NAA with probe detection,284,284
procedure,1263416007,http://snomed.info/sct,Removal of intrauterine contraceptive device (procedure),304,274
medication_request,757594,http://www.nlm.nih.gov/research/umls/rxnorm,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Jolivette 28 Day],410,270
condition,39848009,http://snomed.info/sct,Whiplash injury to neck (disorder),274,266
condition,70704007,http://snomed.info/sct,Sprain of wrist (disorder),269,264
condition,78275009,http://snomed.info/sct,Obstructive sleep apnea syndrome (disorder),257,257
observation,91148-7,http://loinc.org,"Pain intensity, Enjoyment of life, General activity scale [PEG]",557,250
procedure,D7310,http://www.ada.org/cdt,alveoloplasty in conjunction with extractions  four or more teeth or tooth spaces per quadrant,386,250
condition,58150001,http://snomed.info/sct,Fracture of clavicle (disorder),247,240
allergy,735029006,http://snomed.info/sct,Shellfish (substance),239,239
condition,91302008,http://snomed.info/sct,Sepsis (disorder),238,238
medication_request,209387,http://www.nlm.nih.gov/research/umls/rxnorm,Acetaminophen 325 MG Oral Tablet [Tylenol],4803,234
procedure,D0210,http://www.ada.org/cdt,intraoral  comprehensive series of radiographic images,246,234
encounter,439708006,http://snomed.info/sct,Home visit (procedure),4135,233
medication_request,751905,http://www.nlm.nih.gov/research/umls/rxnorm,{7 (ethinyl estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Trinessa 28 Day],278,232
medication_request,748856,http://www.nlm.nih.gov/research/umls/rxnorm,{24 (drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 4 (inert ingredients 1 MG Oral Tablet) } Pack [Yaz 28 Day],273,230
encounter,270427003,http://snomed.info/sct,Patient-initiated encounter (procedure),302,225
condition,713197008,http://snomed.info/sct,Recurrent rectal polyp (disorder),219,219
medication_request,831533,http://www.nlm.nih.gov/research/umls/rxnorm,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Errin 28 Day],303,214
medication_request,1049625,http://www.nlm.nih.gov/research/umls/rxnorm,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],5554,209
condition,263102004,http://snomed.info/sct,Fracture subluxation of wrist (disorder),212,208
allergy,1191,http://www.nlm.nih.gov/research/umls/rxnorm,Aspirin,204,204
medication_request,665078,http://www.nlm.nih.gov/research/umls/rxnorm,Loratadine 5 MG Chewable Tablet,200,200
condition,284551006,http://snomed.info/sct,Laceration of foot (disorder),199,198
procedure,D0502,http://www.ada.org/cdt,other oral pathology procedures by report,219,198
procedure,14736009,http://snomed.info/sct,History and physical examination with evaluation and management of patient (procedure),211,198
observation,75636-1,http://loinc.org,Emergency severity index [ESI],211,198
immunization,212,http://hl7.org/fhir/sid/cvx,"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL",193,193
diagnostic_report,87674-8,http://loinc.org,Optical coherence tomography study,2986,192
condition,126906006,http://snomed.info/sct,Neoplasm of prostate (disorder),189,189
encounter,170837001,http://snomed.info/sct,Allergic disorder initial assessment (regime/therapy),186,186
procedure,410006001,http://snomed.info/sct,Digital examination of rectum (procedure),1014,184
diagnostic_report,80381-7,http://loinc.org,Influenza virus A and B Ag panel - Upper respiratory specimen by Rapid immunoassay,183,183
observation,80383-3,http://loinc.org,Influenza virus B Ag [Presence] in Upper respiratory specimen by Rapid immunoassay,183,183
medication_request,748962,http://www.nlm.nih.gov/research/umls/rxnorm,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Camila 28 Day],241,181
condition,K03.81,http://hl7.org/fhir/sid/icd-10,Cracked tooth,186,180
allergy,102263004,http://snomed.info/sct,Eggs (edible) (substance),177,177
allergy,762952008,http://snomed.info/sct,Peanut (substance),175,175
medication_request,1367439,http://www.nlm.nih.gov/research/umls/rxnorm,21 DAY ethinyl estradiol 0.000625 MG/HR / etonogestrel 0.005 MG/HR Vaginal System [NuvaRing],186,171
allergy,412071004,http://snomed.info/sct,Wheat (substance),170,170
condition,443165006,http://snomed.info/sct,Osteoporotic fracture of bone (disorder),217,169
procedure,D7953,http://www.ada.org/cdt,bone replacement graft for ridge preservation  per site,185,168
medication_request,314077,http://www.nlm.nih.gov/research/umls/rxnorm,lisinopril 20 MG Oral Tablet,992,167
allergy,735971005,http://snomed.info/sct,Fish (substance),167,167
encounter,371883000,http://snomed.info/sct,Outpatient procedure (procedure),6375,166
allergy,111088007,http://snomed.info/sct,Latex (substance),165,165
encounter,183478001,http://snomed.info/sct,Emergency hospital admission for asthma (procedure),238,164
condition,92691004,http://snomed.info/sct,Carcinoma in situ of prostate (disorder),163,163
allergy,288328004,http://snomed.info/sct,Bee venom (substance),161,161
encounter,185317003,http://snomed.info/sct,Telephone encounter (procedure),323,160
encounter,185389009,http://snomed.info/sct,Follow-up visit (procedure),437,155
observation,736-9,http://loinc.org,Lymphocytes/Leukocytes in Blood by Automated count,1606,152
diagnostic_report,57023-4,http://loinc.org,Auto Differential panel - Blood,1606,152
observation,704-7,http://loinc.org,Basophils [#/volume] in Blood by Automated count,1606,152
observation,706-2,http://loinc.org,Basophils/Leukocytes in Blood by Automated count,1606,152
condition,315268008,http://snomed.info/sct,Suspected prostate cancer (situation),201,151
medication_request,308182,http://www.nlm.nih.gov/research/umls/rxnorm,Amoxicillin 250 MG Oral Capsule,153,151
observation,46288-7,http://loinc.org,US Guidance for biopsy of Prostate,201,151
medication_request,106258,http://www.nlm.nih.gov/research/umls/rxnorm,Hydrocortisone 10 MG/ML Topical Cream,166,150
medication_request,1049630,http://www.nlm.nih.gov/research/umls/rxnorm,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,146,146
condition,233678006,http://snomed.info/sct,Childhood asthma (disorder),146,146
condition,707251008,http://snomed.info/sct,Generalised chronic periodontitis,143,142
procedure,25656009,http://snomed.info/sct,"Physical examination, complete (procedure)",1488,139
allergy,29046,http://www.nlm.nih.gov/research/umls/rxnorm,Lisinopril,135,135
condition,87433001,http://snomed.info/sct,Pulmonary emphysema (disorder),134,134
allergy,442571000124108,http://snomed.info/sct,Tree nut (substance),134,134
encounter,183495009,http://snomed.info/sct,Non-urgent orthopedic admission (procedure),136,134
condition,403190006,http://snomed.info/sct,Epidermal burn of skin (disorder),134,133
observation,2106-3,http://loinc.org,Choriogonadotropin [Presence] in Urine,136,128
medication_request,1014676,http://www.nlm.nih.gov/research/umls/rxnorm,cetirizine hydrochloride 5 MG Oral Tablet,126,126
encounter,448337001,http://snomed.info/sct,Telemedicine consultation with patient (procedure),8924,121
allergy,3718001,http://snomed.info/sct,Cow's milk (substance),116,116
condition,K01.1,http://hl7.org/fhir/sid/icd-10,Impacted teeth,119,114
condition,33737001,http://snomed.info/sct,Fracture of rib (disorder),117,114
medication_request,198335,http://www.nlm.nih.gov/research/umls/rxnorm,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet,116,113
condition,1085991000119107,http://snomed.info/sct,Dental caries on smooth surface penetrating into dentin,114,110
medication_request,1648755,http://www.nlm.nih.gov/research/umls/rxnorm,"nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule",126,110
condition,446096008,http://snomed.info/sct,Perennial allergic rhinitis (disorder),109,109
procedure,D1702,http://www.ada.org/cdt,Pfizer-BioNTech Covid-19 vaccine administration - second dose,114,109
medication_request,197604,http://www.nlm.nih.gov/research/umls/rxnorm,Digoxin 0.125 MG Oral Tablet,2449,108
procedure,D7285,http://www.ada.org/cdt,"incisional biopsy of oral tissue-hard (bone, tooth)",163,108
medication_request,897685,http://www.nlm.nih.gov/research/umls/rxnorm,verapamil hydrochloride 80 MG Oral Tablet [Calan],2449,108
condition,1231000119100,http://snomed.info/sct,History of aortic valve replacement (situation),106,106
condition,232353008,http://snomed.info/sct,Perennial allergic rhinitis with seasonal variation (disorder),103,103
condition,K08.8,http://hl7.org/fhir/sid/icd-10,Other specified disorders of teeth and supporting structures,108,102
procedure,54550000,http://snomed.info/sct,Electroencephalogram (procedure),144,101
observation,46240-8,http://loinc.org,History of Hospitalizations+Outpatient visits Narrative,341,98
observation,55277-8,http://loinc.org,HIV status,341,98
medication_request,1534809,http://www.nlm.nih.gov/research/umls/rxnorm,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,96,96
condition,K08.3,http://hl7.org/fhir/sid/icd-10,Retained dental root,100,95
observation,14804-9,http://loinc.org,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,764,95
encounter,1505002,http://snomed.info/sct,Hospital admission for isolation (procedure),95,95
condition,271825005,http://snomed.info/sct,Respiratory distress (finding),95,95
allergy,7984,http://www.nlm.nih.gov/research/umls/rxnorm,Penicillin V,94,94
medication_request,617311,http://www.nlm.nih.gov/research/umls/rxnorm,atorvastatin 40 MG Oral Tablet,91,91
condition,K09.0,http://hl7.org/fhir/sid/icd-10,Developmental odontogenic cysts,94,87
encounter,4525004,http://snomed.info/sct,Emergency department patient visit (procedure),87,87
medication_request,1804799,http://www.nlm.nih.gov/research/umls/rxnorm,Alteplase 100 MG Injection,86,86
condition,K08.409,http://hl7.org/fhir/sid/icd-10,"Partial loss of teeth, unspecified cause, unspecified class",88,86
medication_request,1860154,http://www.nlm.nih.gov/research/umls/rxnorm,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet,394,85
medication_request,351109,http://www.nlm.nih.gov/research/umls/rxnorm,budesonide 0.25 MG/ML Inhalation Suspension,1873,82
encounter,170838006,http://snomed.info/sct,Allergic disorder follow-up assessment (regime/therapy),81,81
condition,S02.5XXA,http://hl7.org/fhir/sid/icd-10,"Fracture of tooth (traumatic), initial encounter for closed fracture",82,81
procedure,305351004,http://snomed.info/sct,Admission to intensive care unit (procedure),103,80
condition,398254007,http://snomed.info/sct,Pre-eclampsia (disorder),83,77
condition,M27.8,http://hl7.org/fhir/sid/icd-10,Other specified diseases of jaws,76,76
encounter,310061009,http://snomed.info/sct,Gynecology service (qualifier value),667,75
procedure,237001001,http://snomed.info/sct,Augmentation of labor (procedure),75,72
condition,68962001,http://snomed.info/sct,Muscle pain (finding),72,72
encounter,86013001,http://snomed.info/sct,Periodic reevaluation and management of healthy individual (procedure),71,71
diagnostic_report,600-7,http://loinc.org,Bacteria identified in Blood by Culture,70,70
observation,44963-7,http://loinc.org,Capillary refill [Time] of Nail bed,70,70
observation,32693-4,http://loinc.org,Lactate [Moles/volume] in Blood,144,70
condition,267102003,http://snomed.info/sct,Sore throat (finding),68,68
medication_request,966222,http://www.nlm.nih.gov/research/umls/rxnorm,Levothyroxine Sodium 0.075 MG Oral Tablet,67,67
procedure,D3310,http://www.ada.org/cdt,endodontic therapy anterior tooth excluding final restoration,69,67
medication_request,749882,http://www.nlm.nih.gov/research/umls/rxnorm,{7 (inert ingredients 1 MG Oral Tablet) / 21 (mestranol 0.05 MG / norethindrone 1 MG Oral Tablet) } Pack [Norinyl 1+50 28 Day],114,66
allergy,256355007,http://snomed.info/sct,Glycine max (substance),65,65
condition,K03.6,http://hl7.org/fhir/sid/icd-10,Deposits [accretions] on teeth,67,65
condition,K02.7,http://hl7.org/fhir/sid/icd-10,Dental root caries,61,60
condition,25064002,http://snomed.info/sct,Headache (finding),59,59
medication_request,198014,http://www.nlm.nih.gov/research/umls/rxnorm,Naproxen 500 MG Oral Tablet,60,59
observation,66534-9,http://loinc.org,Percentage area affected by eczema Lower extremity - bilateral [PhenX],59,59
medication_request,235389,http://www.nlm.nih.gov/research/umls/rxnorm,Mestranol / Norethynodrel,107,57
medication_request,866514,http://www.nlm.nih.gov/research/umls/rxnorm,metoprolol tartrate 50 MG Oral Tablet,56,56
condition,K04.4,http://hl7.org/fhir/sid/icd-10,Acute apical periodontitis of pulpal origin,56,55
condition,Z00.00,http://hl7.org/fhir/sid/icd-10,Encounter for general adult medical examination without abnormal findings,56,55
